Book Name,Author Name,Ratings,Votes,Book Type,Price,Book Link
"NCERT Class 5 Maths Mela, Textbook of Mathematics 533 2025-26 Edition",National council of educational research and training,4.2 out of 5 stars,80,Paperback,₹65.00,https://www.amazon.in//NCERT-Class-Textbook-Mathematics-2025-26/dp/9357298185/ref=zg_bs_g_books_d_sccl_1/259-7549272-5565421?psc=1
"My First Library: Boxset of 10 Board Books for Kids (Pack 1) | Includes ABC, Numbers, Shapes, Colors, Wild Animals, Farm Animals & Pets, Birds, Fruits, Vegetables & Transport | Early Learning Board Books for Babies, Toddlers & Preschoolers | Ages 0-3 Years",Wonder House Books,4.5 out of 5 stars,"84,729",Board book,₹369.00,https://www.amazon.in//My-First-Library-Boxset-Board/dp/9387779262/ref=zg_bs_g_books_d_sccl_2/259-7549272-5565421?psc=1
"Class 8 NCERT Exploring Society – India and Beyond, Part I, Textbook of Social Science for Grade VIII",National council of educational research and training,3.9 out of 5 stars,70,Paperback,₹65.00,https://www.amazon.in//Class-NCERT-Exploring-Society-Textbook/dp/9357292934/ref=zg_bs_g_books_d_sccl_3/259-7549272-5565421?psc=1
Deewar Mein Ek Khidki Rahti Thi । दीवार में एक खिड़की रहती थी [ साहित्य अकादमी पुरस्कार से पुरस्कृत उपन्यास ],Vinod Kumar Shukla,4.4 out of 5 stars,831,Paperback,₹190.00,https://www.amazon.in//Deewar-%E0%A4%B8%E0%A4%BE%E0%A4%B9%E0%A4%BF%E0%A4%A4%E0%A5%8D%E0%A4%AF-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%95%E0%A4%BE%E0%A4%B0-%E0%A4%AA%E0%A5%81%E0%A4%B0%E0%A4%B8%E0%A5%8D%E0%A4%95%E0%A5%83%E0%A4%A4-%E0%A4%89%E0%A4%AA%E0%A4%A8%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%B8/dp/939282078X/ref=zg_bs_g_books_d_sccl_4/259-7549272-5565421?psc=1
NCERT CLASS 8 Deepakm Sanskrit 872 2025-26 EDITION,National council of educational research and training,4.5 out of 5 stars,81,Paperback,₹65.00,https://www.amazon.in//NCERT-CLASS-Deepakm-Sanskrit-2025-26/dp/9357292942/ref=zg_bs_g_books_d_sccl_5/259-7549272-5565421?psc=1
PW SKC Physics Crush Class 11 Handwritten Format Notes By Saleem Sir For JEE and NEET Exams | A Beautiful Journey From Basic to JEE Advanced via JEE/ NEET [Paperback] Saleem Ahmed,Saleem Ahmed,4.6 out of 5 stars,237,Paperback,₹449.00,https://www.amazon.in//Physics-Handwritten-Beautiful-Advanced-Paperback/dp/936897408X/ref=zg_bs_g_books_d_sccl_6/259-7549272-5565421?psc=1
"NCERT Class 5 Our Wondrous World, Textbook of The World Around Us 535 2025-26 EDITION",National council of educational research and training,3.6 out of 5 stars,36,Paperback,₹122.00,https://www.amazon.in//NCERT-Wondrous-Textbook-Around-2025-26/dp/9357290303/ref=zg_bs_g_books_d_sccl_7/259-7549272-5565421?psc=1
NCERT CLASS 8 Ganita Prakash Textbook of Mathematics 874 2025-2026 EDITION,National council of educational research and training,4.2 out of 5 stars,54,Paperback,₹65.00,https://www.amazon.in//Ganita-Prakash-Textbook-Mathematics-2025-2026/dp/9357296425/ref=zg_bs_g_books_d_sccl_8/259-7549272-5565421?psc=1
"NCERT CLASS 8 Curiosity, Textbook of Science 877 2025-26 EDITION",National council of educational research and training,4.3 out of 5 stars,202,Paperback,₹65.00,https://www.amazon.in//NCERT-Curiosity-Textbook-Science-2025-26/dp/9357297723/ref=zg_bs_g_books_d_sccl_9/259-7549272-5565421?psc=1
"Indian Polity Courseware (English), 8th edition by M Laxmikanth for UPSC CSE 2025-26 | 40+ Conceptual Videos | 95 Well-structured Chapters | 18 Insightful Appendices | Full Colour eBook | Solved 13 Previous Years' Prelim Questions (2013–2025) | 12 Years' UPSC Main Exam Questions | Practice Questions",M Laxmikanth,4.1 out of 5 stars,30,Paperback,₹749.00,https://www.amazon.in//Courseware-Laxmikanth-Conceptual-Well-structured-Insightful/dp/9364447670/ref=zg_bs_g_books_d_sccl_10/259-7549272-5565421?psc=1
